K,distance_metric,Dataset scaling,Method name,sse,centroids,silhouette_score,davies_bouldin,calinski_harabasz,adjusted_rand_index,fowlkes_mallows_index,normalized_mutual_info,purity_score
2,euclidean,MinMax,K-Means++,3670.3282635162495,,0.18765731167288918,2.01297739126864,339.6524834333144,0.04322441113425199,0.44671987366090343,0.03985076131853989,0.43109300746775286
3,euclidean,MinMax,K-Means++,3305.2292826287694,,0.19170105134808588,2.1749659767818588,269.64606445459106,0.034593945733678716,0.36877643934545523,0.04276667605236611,0.4487440597420231
4,euclidean,MinMax,K-Means++,3065.3296476163123,,0.17755240129558114,2.11129326618085,232.02334617985048,0.016869956526178325,0.3172743608257943,0.028415942065888607,0.4392396469789545
5,euclidean,MinMax,K-Means++,2851.721539032136,,0.18581083756807756,1.99150147334813,214.41507542028012,0.012748872029719175,0.2839762305034614,0.025493370895883518,0.4344874405974202
6,euclidean,MinMax,K-Means++,2683.221520908077,,0.19697944346961432,1.9342804696835858,200.60451804724678,0.015463438230434272,0.2686493367193171,0.035200142054146545,0.4548540393754243
7,euclidean,MinMax,K-Means++,2543.9640277458425,,0.19029019874103545,1.8716165190844076,189.57610193454173,0.016453030636876243,0.2452507773376168,0.03180027017197882,0.45689069925322473
8,euclidean,MinMax,K-Means++,2434.582824985874,,0.20414728808832863,1.805485902756036,179.08133079457278,0.008804608290716078,0.22505915083446848,0.026110529231160504,0.4480651731160896
2,manhattan,MinMax,K-Means++,41598.43392168314,,0.30916265630408674,2.1026363952148692,313.94287454053335,0.0063706816596737735,0.43693611100360186,0.02566374973574806,0.4270196877121521
3,manhattan,MinMax,K-Means++,34500.03764856409,,0.2981700350898071,2.1866388027985657,251.17406536472095,0.007631122151260643,0.37338266658985025,0.03279424001397593,0.42769857433808556
4,manhattan,MinMax,K-Means++,29447.695457763493,,0.2834092902773791,2.1122138892522173,229.17674142950293,0.005565646093920987,0.3175344351338579,0.02456096153674166,0.43245078071961984
5,manhattan,MinMax,K-Means++,26347.90150647261,,0.28486490515463575,1.9938696455898537,202.43130352200743,0.002998681416787987,0.29687074879310515,0.0306938994449043,0.4351663272233537
6,manhattan,MinMax,K-Means++,23291.27409751955,,0.30226909909205496,1.9516304280181744,197.56126655483007,0.005552384013239338,0.26240788526209313,0.024374755245074195,0.4290563475899525
7,manhattan,MinMax,K-Means++,21689.622126012524,,0.2900285113891093,1.8865833166958725,183.95440697945583,0.004880982740787675,0.24221681339504275,0.022748604298270685,0.4317718940936864
8,manhattan,MinMax,K-Means++,20217.534713733614,,0.2988605513565456,1.8882805438864434,169.003569189638,0.0031340629940122865,0.23560884289584957,0.02611612891047323,0.4331296673455533
2,cosine,MinMax,K-Means++,159.12384360325285,,0.32057804727674516,2.1012891153230053,319.5861640731626,0.009136606110453999,0.43473714076530384,0.02539103143380255,0.4270196877121521
3,cosine,MinMax,K-Means++,125.40662446535131,,0.3146150850492588,2.2121857292473908,265.2034287010083,0.01653346713120565,0.3647345819427823,0.03318564412303316,0.43245078071961984
4,cosine,MinMax,K-Means++,105.1078740423805,,0.3429444648857187,2.0311843109914056,224.53816814549836,0.010528848652460938,0.33227195563355144,0.04124267487335412,0.4439918533604888
5,cosine,MinMax,K-Means++,92.95469905305225,,0.3259454268427548,1.9050453825156843,197.49810608308024,0.005241906031950098,0.3055256146900885,0.037867622333219414,0.44331296673455534
6,cosine,MinMax,K-Means++,82.48929360164917,,0.32353385700689113,1.9546043208465278,184.82011513239735,0.005153585921289393,0.2776708979664425,0.03136861670068048,0.4439918533604888
7,cosine,MinMax,K-Means++,72.2478505377628,,0.29502233699237823,1.8601856126262006,185.3040223896979,0.012182461354308645,0.24836197582329317,0.035082205340758225,0.45689069925322473
8,cosine,MinMax,K-Means++,67.99486074083053,,0.3027206370193203,1.9673462571242357,168.72850132296648,0.008406508913341559,0.24081469339437905,0.03488128490337044,0.4596062457569586
