K,distance_metric,Dataset scaling,Method name,sse,centroids,silhouette_score,davies_bouldin,calinski_harabasz,adjusted_rand_index,fowlkes_mallows_index,normalized_mutual_info,purity_score
2,euclidean,Robust,K-Means,5023.415247094823,"[349, 884]",0.15154419702794883,2.325934553357539,254.84615371572497,0.0361090526770398,0.44193718689598166,0.03541733080555951,0.4270196877121521
3,euclidean,Robust,K-Means,4404.087991203722,"[1301, 326, 368]",0.15533247980317744,2.0382273358087493,248.6029836117171,0.03102882701679039,0.37093873737277927,0.037028716489259025,0.439918533604888
4,euclidean,Robust,K-Means,4112.111424509087,"[464, 1174, 290, 820]",0.13457974027544442,2.2368061887150477,212.15076777247322,0.018418170266031753,0.31380756643921004,0.028747010422506956,0.44467073998642226
5,euclidean,Robust,K-Means,3917.5518527891873,"[793, 1411, 592, 520, 696]",0.1210150320385554,2.185046348076824,185.1280310449547,0.01982814011643534,0.2846883138069075,0.031503956546498915,0.4528173794976239
6,euclidean,Robust,K-Means,3738.412998570312,"[439, 1452, 1444, 430, 95, 432]",0.12665608330208786,2.150088107584607,169.1528030772451,0.017595519190673283,0.26039896446954314,0.033590861385952867,0.45824847250509165
7,euclidean,Robust,K-Means,3600.96953901722,"[1138, 580, 1206, 1256, 844, 1434, 1352]",0.13392255757712518,2.0744191803211782,155.56699248563677,0.014335003431668922,0.24206791971863167,0.026203194043999598,0.4480651731160896
8,euclidean,Robust,K-Means,3495.297385161174,"[424, 37, 1215, 79, 951, 394, 1179, 457]",0.13570745412910148,2.020580406099026,143.60801257942563,0.012477732779992291,0.2319680409943225,0.03645759981812643,0.47046843177189407
2,manhattan,Robust,K-Means,55840.71803010946,"[1189, 1301]",0.27586486269973187,2.401174597925234,238.11093288670563,0.006351886017583689,0.4362421246475824,0.025132136286161344,0.4270196877121521
3,manhattan,Robust,K-Means,47645.0295550295,"[1232, 69, 434]",0.263139810966823,2.5410324883141633,183.3168165289125,0.005302744395956884,0.3734572083967948,0.030912158183910323,0.4270196877121521
4,manhattan,Robust,K-Means,41754.852869592476,"[955, 232, 1319, 1389]",0.24094005840892235,2.4259631344048813,167.59479268432088,0.009770492020994783,0.32411800590764134,0.032112763740000716,0.439918533604888
5,manhattan,Robust,K-Means,38578.2623536648,"[655, 1318, 57, 811, 255]",0.20442492589835945,2.4588923175007573,145.46826621584626,0.012596784134533705,0.28171401417769754,0.02664484934886381,0.44059742023082143
6,manhattan,Robust,K-Means,35302.1685236151,"[995, 1139, 808, 533, 115, 199]",0.22375759678755341,2.3107128957631735,136.13440416894798,0.010781776280202939,0.27193481550882476,0.03803141959130302,0.46435845213849286
7,manhattan,Robust,K-Means,32898.474752301045,"[1076, 897, 1451, 788, 807, 547, 876]",0.23229037162255076,2.177671609170883,131.67631621136093,0.009346771109214112,0.25867735301107253,0.04114664878044365,0.45417515274949083
8,manhattan,Robust,K-Means,30856.569906542853,"[1399, 681, 573, 1131, 642, 1359, 1017, 1421]",0.2223468686491052,2.1440675492614227,123.07631726729566,0.00479750887896587,0.24260624462031394,0.03287551403562309,0.45078071961982347
2,cosine,Robust,K-Means,262.35140010020893,"[627, 263]",0.2622635279136612,2.3124634042321506,254.647906879054,0.03718177148720195,0.4432374260501944,0.034313449441066575,0.4270196877121521
3,cosine,Robust,K-Means,195.89137332672686,"[1054, 283, 478]",0.25895473174005074,2.0756814913172863,245.75013067551296,0.02996489162206303,0.3655285010339371,0.03754702600419264,0.4439918533604888
4,cosine,Robust,K-Means,165.43030995319796,"[763, 782, 710, 731]",0.25702062472611514,2.086903592231355,207.9403018759018,0.024019837048518906,0.3198785775214706,0.030074988562494517,0.439918533604888
5,cosine,Robust,K-Means,143.67867218517787,"[100, 1412, 1471, 312, 1106]",0.23836012664411685,2.158595557815098,185.43003454521815,0.0211636485288637,0.2830874162762287,0.03208040713791849,0.45621181262729127
6,cosine,Robust,K-Means,130.38389465595188,"[214, 1257, 721, 733, 1019, 382]",0.23249821233184367,2.121854042838978,167.98100097049277,0.01608132748640498,0.2611445843836666,0.032339839307019315,0.45824847250509165
7,cosine,Robust,K-Means,118.57564450057122,"[1317, 930, 111, 1044, 498, 810, 788]",0.26228082236619216,2.0768101488919926,150.784306540838,0.012545061433079768,0.25096329827151215,0.032515528535058576,0.44942294636795654
8,cosine,Robust,K-Means,111.80232174156042,"[398, 1103, 181, 767, 808, 195, 1172, 499]",0.2550192528928577,2.0348780627466976,141.88253832836313,0.015297821159112018,0.23280519173401473,0.029749220582850754,0.4528173794976239
