K,distance_metric,Dataset scaling,Method name,sse,centroids,silhouette_score,davies_bouldin,calinski_harabasz,adjusted_rand_index,fowlkes_mallows_index,normalized_mutual_info,purity_score
2,euclidean,Standard,K-Means,26691.379727054227,"[588, 855]",0.15648616102771265,2.402044619864952,233.76174200463007,0.03464468949477909,0.4409296148336553,0.03862568101808956,0.4270196877121521
3,euclidean,Standard,K-Means,24578.20563261006,"[1023, 1229, 816]",0.15328354679442469,2.356912527375164,190.0372195533471,0.020175796912206723,0.38895674466288466,0.0444208477701619,0.43584521384928715
4,euclidean,Standard,K-Means,22649.921069331507,"[388, 239, 121, 611]",0.16520243072756896,2.2147313817397736,179.07116043813517,0.01331987518257753,0.3296047935543833,0.04125196352675418,0.4480651731160896
5,euclidean,Standard,K-Means,21526.943997339564,"[675, 629, 550, 1347, 620]",0.13341569124677652,2.1899197857913872,160.35822610970752,0.01998372219627882,0.2902781123440224,0.03882402028273394,0.4589273591310251
6,euclidean,Standard,K-Means,20189.26962439381,"[143, 1366, 352, 661, 734, 901]",0.15735458493550436,1.975224733294085,156.13296324470238,0.01001730400495181,0.2764793489572173,0.028000245661219902,0.4317718940936864
7,euclidean,Standard,K-Means,19265.428481570736,"[1435, 172, 241, 1330, 1451, 625, 730]",0.15680876887259976,1.9134125778671878,147.9736951467202,0.007774072861498051,0.2673413123045425,0.03480346173120147,0.4460285132382892
8,euclidean,Standard,K-Means,18825.319367207867,"[974, 708, 942, 625, 872, 665, 388, 460]",0.15050172136212572,2.0503180147025235,134.60406913420934,0.008089403251376243,0.2319805602878588,0.02830831311743138,0.4351663272233537
2,manhattan,Standard,K-Means,300184.33630617824,"[1306, 210]",0.28213919165727785,2.480064825645316,216.51359442805918,0.00381805651017578,0.44071303522292815,0.027743620955920627,0.4270196877121521
3,manhattan,Standard,K-Means,254263.5036866875,"[1306, 1036, 1130]",0.30008547123802726,2.285007334974449,179.87704941952236,-0.010112550969377278,0.3964802768526461,0.02325244392175789,0.4270196877121521
4,manhattan,Standard,K-Means,216527.50153919915,"[582, 734, 1117, 945]",0.28308300335570924,2.216138071477806,171.39432589008507,0.0036455687377585314,0.33830220412499934,0.03848941584637855,0.42973523421588594
5,manhattan,Standard,K-Means,198919.45311515828,"[1180, 1376, 1467, 1438, 160]",0.2589947723158063,2.0775100880316457,162.29849877976622,0.005057742033802608,0.31702742456411764,0.03322859954249929,0.4351663272233537
6,manhattan,Standard,K-Means,182564.98134405518,"[6, 756, 506, 1075, 1456, 1116]",0.26001993438113413,2.175484126257483,139.50342722383874,0.0025532261931010465,0.2923372427170631,0.03749813464463057,0.45010183299389
7,manhattan,Standard,K-Means,167735.39898037782,"[1076, 92, 586, 787, 329, 380, 828]",0.26052760303354217,1.9532077360454918,142.76155968148316,0.0066974506246505515,0.26846744462729233,0.03201857741826026,0.4317718940936864
8,manhattan,Standard,K-Means,161616.666269066,"[1049, 1012, 661, 1166, 439, 278, 1080, 76]",0.24290204453206965,2.084801338175036,120.32842236308169,0.0012377571799387496,0.2510033665291342,0.03486795175015763,0.44738628649015616
2,cosine,Standard,K-Means,608.7308549452589,"[881, 484]",0.2642063937479222,2.3921883800952335,233.70641775023688,0.036808829806785265,0.44208929414546094,0.03897572927523807,0.4270196877121521
3,cosine,Standard,K-Means,440.42271263807993,"[1252, 1140, 828]",0.2706790326015301,2.469974285895823,187.76648539436664,0.0338789507136309,0.36877148630414214,0.04208018496174518,0.4460285132382892
4,cosine,Standard,K-Means,378.9687833586381,"[33, 976, 828, 566]",0.2638225745331688,2.375818521807557,170.26545596861266,0.01563484957513757,0.3182599936498598,0.03299015588169856,0.4426340801086219
5,cosine,Standard,K-Means,300.8783611287139,"[1453, 373, 904, 105, 1169]",0.2871018980105673,2.192437755258683,153.508498336222,0.016399329075029594,0.28459440254343216,0.027171191638839524,0.4351663272233537
6,cosine,Standard,K-Means,270.55704552002913,"[192, 265, 9, 12, 558, 872]",0.2677169243892532,2.166900866887531,134.4445152990513,0.01898484305859921,0.2735157000747609,0.031311428278024286,0.45078071961982347
7,cosine,Standard,K-Means,246.59011799598096,"[86, 740, 549, 1009, 1287, 1298, 537]",0.26633569178896793,2.0934219498452262,130.18636256151916,0.01262071217411685,0.24982215859499513,0.030978196666347546,0.4548540393754243
8,cosine,Standard,K-Means,217.2567598187659,"[487, 181, 981, 1365, 570, 315, 327, 439]",0.2991244065296602,2.0008048393045805,130.39025224269366,0.006328134579390794,0.23716461272069714,0.030773654919638682,0.451459606245757
