K,distance_metric,Dataset scaling,Method name,sse,centroids,silhouette_score,davies_bouldin,calinski_harabasz,adjusted_rand_index,fowlkes_mallows_index,normalized_mutual_info,purity_score
2,euclidean,MinMax,K-Means++,308.00115127246386,,0.19653236619586115,1.9714516682724588,37.51585130461698,0.14063721658367048,0.638561033935375,0.1777362334054973,0.7935483870967742
3,euclidean,MinMax,K-Means++,275.8794600277164,,0.18429737747919872,2.0552731822554846,29.65407441380059,0.1635542599376233,0.5876869086072933,0.1316477326914916,0.7935483870967742
4,euclidean,MinMax,K-Means++,253.17289661022056,,0.17252311362756342,2.048376151727267,25.915026626664606,0.08803593835046997,0.4800764154330765,0.12668376611726587,0.8064516129032258
5,euclidean,MinMax,K-Means++,236.64540229378446,,0.18477743431329532,1.8953507323815084,23.275035518833622,0.09714886023686523,0.46819256149327027,0.10456480428991699,0.8129032258064516
6,euclidean,MinMax,K-Means++,222.21085319760186,,0.18994374903779837,1.8174468784815716,21.633137992424377,0.08563294578119122,0.43916729145823474,0.09952756095866272,0.8258064516129032
7,euclidean,MinMax,K-Means++,211.31896156764108,,0.17430760081270646,1.9604648096900277,20.100954925432056,0.07147123885156506,0.39005233358082814,0.13224434968091564,0.8451612903225807
8,euclidean,MinMax,K-Means++,199.97440022692874,,0.16451524075576046,1.7835375479661237,19.275126813899846,0.05350276083460379,0.3477618857631532,0.1408224515503656,0.8580645161290322
2,manhattan,MinMax,K-Means++,3143.272105646365,,0.32231023804532194,1.9590285612004557,35.561791899581124,0.33050329631047415,0.7404965814916149,0.23316064016508606,0.8
3,manhattan,MinMax,K-Means++,2574.3260389594634,,0.2712992224639433,2.086817484233228,28.91749247155753,0.22027649279355418,0.6273766937003591,0.1633242980736812,0.8
4,manhattan,MinMax,K-Means++,2240.8764333277268,,0.2834335270787745,1.9290672677109373,24.46384808146858,0.18704047995755643,0.5830795571723171,0.13683506071976465,0.8193548387096774
5,manhattan,MinMax,K-Means++,2015.0889164000225,,0.2743822934169314,1.843282726267536,21.448592809372183,0.19316604423593065,0.5764160084942522,0.12738303539235996,0.8258064516129032
6,manhattan,MinMax,K-Means++,1826.501906760397,,0.21699919343125382,1.9188332244093136,20.01042804609372,0.12495405542524853,0.4824153934536751,0.13685781026910554,0.8451612903225807
7,manhattan,MinMax,K-Means++,1653.7720588127277,,0.27091462655512066,1.7692480376194386,18.90970477243222,0.13637898785464375,0.48924158441701493,0.14619234753477872,0.864516129032258
8,manhattan,MinMax,K-Means++,1497.153023391787,,0.2659706756319055,1.7804092288661155,18.424151025014517,0.10168072499678805,0.44096771480227875,0.13262591851370595,0.8580645161290322
2,cosine,MinMax,K-Means++,10.317795214992307,,0.3168191861815708,1.9650214004471498,36.843853764157544,0.10413268126203154,0.6224834885396101,0.1801729654676071,0.7935483870967742
3,cosine,MinMax,K-Means++,8.001676664361163,,0.29530268434554513,2.1759715265120465,28.303853150522304,0.06509428320758243,0.5205214439978915,0.10558047487694318,0.7935483870967742
4,cosine,MinMax,K-Means++,6.577634857014346,,0.2941380778894882,2.0845589039723613,24.084236985834696,0.06801491402573355,0.4679650362074952,0.11780243474315792,0.7935483870967742
5,cosine,MinMax,K-Means++,5.85419220335602,,0.2772955685788338,1.9204145987746455,22.131481920153025,0.03736989102837607,0.40677373298165065,0.12137346879117641,0.8
6,cosine,MinMax,K-Means++,5.191778402024446,,0.2770280053970589,1.9029086405867262,19.627437078083084,0.06920652770853664,0.4139484526901185,0.09670470929115511,0.8064516129032258
7,cosine,MinMax,K-Means++,4.65462653599154,,0.26145396970182655,1.9175861852425997,18.222412938254436,0.03884500960923443,0.3518383182535862,0.11458499719932305,0.8129032258064516
8,cosine,MinMax,K-Means++,4.123768917885122,,0.26933132466987614,1.7735030762753086,18.66310620999531,0.050268215107221306,0.3476014839735957,0.10966018782182876,0.8064516129032258
