K,distance_metric,Dataset scaling,Method name,sse,centroids,silhouette_score,davies_bouldin,calinski_harabasz,adjusted_rand_index,fowlkes_mallows_index,normalized_mutual_info,purity_score
2,euclidean,MinMax,K-Means,307.99273594587544,"[90, 78]",0.19784189871037444,1.974771531794904,37.52105679462332,0.1502892999645793,0.6430603086383676,0.1828246116790309,0.7935483870967742
3,euclidean,MinMax,K-Means,276.09520650843274,"[11, 132, 127]",0.1823216278525519,2.0348144659825866,29.571514144042943,0.16267623716103374,0.5880402292553067,0.13363227542637457,0.7935483870967742
4,euclidean,MinMax,K-Means,253.04888328578568,"[128, 82, 99, 138]",0.17828102926447914,2.045451665679887,25.952394160077777,0.11122291937966142,0.4963547808226257,0.15307762982418233,0.8387096774193549
5,euclidean,MinMax,K-Means,236.9260767657604,"[95, 15, 41, 46, 148]",0.18123936789148784,2.017952938947471,23.203038374254085,0.08947766581535586,0.4606796884161025,0.10761459713718922,0.7935483870967742
6,euclidean,MinMax,K-Means,223.82955212423468,"[70, 15, 98, 12, 94, 3]",0.16477628643862882,1.923478661795209,21.261181901409703,0.04356219579411086,0.3840197706507318,0.10661181143140266,0.8
7,euclidean,MinMax,K-Means,209.86907951689614,"[128, 93, 111, 53, 62, 127, 4]",0.16207974168414468,1.8089022247578994,20.41023236234814,0.07578859123775207,0.39362400750676957,0.1340722519231559,0.8580645161290322
8,euclidean,MinMax,K-Means,204.77974190884012,"[111, 74, 42, 45, 21, 128, 76, 56]",0.179996409352186,1.7822608977271963,18.330034570794794,0.06651892555393585,0.3830757438793746,0.11736802010354846,0.8258064516129032
2,manhattan,MinMax,K-Means,3143.272105646365,"[5, 71]",0.32231023804532194,1.9590285612004557,35.561791899581124,0.33050329631047415,0.7404965814916149,0.23316064016508606,0.8
3,manhattan,MinMax,K-Means,2574.3260389594634,"[9, 99, 71]",0.2712992224639433,2.086817484233228,28.91749247155753,0.22027649279355418,0.6273766937003591,0.1633242980736812,0.8
4,manhattan,MinMax,K-Means,2236.0914724370546,"[54, 23, 40, 80]",0.2735889788321637,1.8961188819016215,24.504533692710645,0.2205417291740039,0.6044991483114635,0.17677599579537515,0.8580645161290322
5,manhattan,MinMax,K-Means,2010.9391334625793,"[133, 22, 17, 137, 36]",0.21380228779977753,2.017402283623609,22.20485840555817,0.11215858918593849,0.4813145003233483,0.13373562955989707,0.832258064516129
6,manhattan,MinMax,K-Means,1790.9659924168488,"[35, 140, 16, 6, 112, 80]",0.26585635663385243,1.7954286820989263,20.517945729582344,0.12767081458312113,0.4970690404022295,0.11022578995481322,0.8258064516129032
7,manhattan,MinMax,K-Means,1629.2277058226382,"[25, 40, 98, 143, 152, 141, 66]",0.26277671392668056,1.791059682377852,19.590602981586237,0.1130075709752195,0.4585706152524765,0.14964891479963766,0.864516129032258
8,manhattan,MinMax,K-Means,1521.9869164359654,"[104, 115, 24, 85, 62, 143, 42, 28]",0.2566118313918634,1.75036993500263,18.27306429359345,0.09448191410298201,0.4314613790811191,0.128281380192882,0.864516129032258
2,cosine,MinMax,K-Means,10.317795214992307,"[125, 86]",0.3168191861815708,1.9650214004471498,36.843853764157544,0.10413268126203154,0.6224834885396101,0.1801729654676071,0.7935483870967742
3,cosine,MinMax,K-Means,8.035698939481467,"[124, 68, 19]",0.2936781945994735,2.193791096596635,27.798341640693828,0.050121100827878205,0.5017779965906856,0.07925674550005189,0.7935483870967742
4,cosine,MinMax,K-Means,6.643070585209172,"[133, 12, 70, 45]",0.2939629486719822,2.047490860443857,24.19773183429929,0.06180839495718041,0.46241581581040697,0.1422743710493201,0.7935483870967742
5,cosine,MinMax,K-Means,5.880900664986198,"[88, 113, 18, 80, 41]",0.2620545915384844,1.9413794175944723,21.088908833473585,0.019993456914340735,0.39553087409328885,0.12393887315817735,0.7935483870967742
6,cosine,MinMax,K-Means,5.116964080228516,"[86, 115, 62, 69, 88, 63]",0.2635510026583133,1.9054922132104377,20.679728771022543,0.023475085167488197,0.3550517996713,0.08235201256563127,0.7935483870967742
7,cosine,MinMax,K-Means,4.545134621823318,"[112, 69, 52, 93, 70, 134, 51]",0.2842296066233294,1.8751717556162288,18.04965717853079,0.031014510479458208,0.35963717406164575,0.07463755218841775,0.7935483870967742
8,cosine,MinMax,K-Means,4.233725752397957,"[110, 81, 120, 13, 2, 119, 41, 108]",0.26459145200172207,1.813140831257643,17.005403252785044,0.050407965582145615,0.36042445117770733,0.12831745867050207,0.8193548387096774
