K,distance_metric,Dataset scaling,Method name,sse,centroids,silhouette_score,davies_bouldin,calinski_harabasz,adjusted_rand_index,fowlkes_mallows_index,normalized_mutual_info,purity_score
2,euclidean,Robust,K-Means,1669.2358646499501,"[49, 150]",0.26057718160423643,1.7028094164034602,46.3235617945723,0.2728972527100014,0.714570447143039,0.18790478462704238,0.7935483870967742
3,euclidean,Robust,K-Means,1404.650605583047,"[55, 16, 107]",0.2311243601641188,1.498689626903494,41.66036657230084,0.11096930377383456,0.6147372127933529,0.11845800290911265,0.8193548387096774
4,euclidean,Robust,K-Means,1211.4817975325216,"[139, 14, 151, 22]",0.2552502622756859,1.4114777313700289,40.01574256340603,0.20225493483913654,0.6210563376721817,0.14023692072657043,0.8193548387096774
5,euclidean,Robust,K-Means,1076.145322824131,"[87, 24, 55, 131, 57]",0.25822806952025085,1.354126756082609,38.27837026296331,0.16697032915507543,0.5763433052218656,0.13033811865429315,0.832258064516129
6,euclidean,Robust,K-Means,970.6245583219312,"[123, 74, 115, 127, 138, 43]",0.21775073555535407,1.414645819509439,36.96516155322016,0.17911984020819294,0.55666678247661,0.15406865129949276,0.832258064516129
7,euclidean,Robust,K-Means,929.8519449026916,"[93, 153, 151, 47, 103, 102, 112]",0.16552724213087758,1.5006122476387749,33.020814529359484,0.13542169173429114,0.5112204229388091,0.14333769264325438,0.832258064516129
8,euclidean,Robust,K-Means,890.8892816589437,"[114, 30, 15, 139, 82, 138, 104, 73]",0.14512122128450583,1.6034238246805539,30.260221251744294,0.08004141680098922,0.4040559559312418,0.14159657259515662,0.8387096774193549
2,manhattan,Robust,K-Means,13366.481049382313,"[133, 152]",0.29439244168758083,1.7389711096235385,38.67265427737051,0.37472378076294405,0.7744317296828646,0.2294623772547925,0.8258064516129032
3,manhattan,Robust,K-Means,11989.557079181324,"[29, 118, 33]",0.24470628612006096,2.2907588560652528,23.944902366176144,0.41488299881012064,0.7642586630820346,0.2734386596482027,0.8774193548387097
4,manhattan,Robust,K-Means,10832.579530065963,"[102, 111, 77, 93]",0.18817437335794648,1.7113239551506974,32.766783908405245,0.2172841098078819,0.6167524915206275,0.17173174046289927,0.8258064516129032
5,manhattan,Robust,K-Means,9986.644119512492,"[146, 152, 51, 48, 28]",0.19268188435922737,1.6326865940499478,32.13870663177002,0.20382602664832355,0.5897852920586474,0.17963726731987562,0.8516129032258064
6,manhattan,Robust,K-Means,9409.160960125402,"[15, 17, 24, 81, 25, 5]",0.18207061805744693,1.6013045041896696,28.893434762533754,0.21661937486300673,0.5834836367166322,0.19300055727805834,0.864516129032258
7,manhattan,Robust,K-Means,8792.107292723731,"[48, 99, 11, 57, 62, 4, 61]",0.13452384407193899,2.0350593820449525,25.75393635721773,0.13524100240246179,0.48330050344847436,0.17492966878157756,0.864516129032258
8,manhattan,Robust,K-Means,8487.66220582505,"[1, 90, 135, 50, 63, 34, 79, 102]",0.16611554973882167,2.0922839683756704,22.029961853770935,0.16645976412588448,0.5181796301574874,0.17046674732391848,0.8774193548387097
2,cosine,Robust,K-Means,41.14620826791201,"[141, 59]",0.30514986876199435,1.7769208959456757,37.50669541180992,0.000492277235744435,0.5887830467646371,0.10046879630977346,0.7935483870967742
3,cosine,Robust,K-Means,29.57094844660018,"[14, 62, 108]",0.28452930782018887,1.7829547401027117,31.458443690776566,-0.003140419270027394,0.49444495644239467,0.1341679120748629,0.7935483870967742
4,cosine,Robust,K-Means,24.690172020690326,"[26, 2, 131, 7]",0.2621016238390303,1.9800641988802683,26.64540157305091,0.044867664703141276,0.45002812763699346,0.15799225804057349,0.7935483870967742
5,cosine,Robust,K-Means,19.643376236654458,"[74, 81, 122, 47, 73]",0.2862790794489291,1.790196638435925,27.161519332791553,0.032505606648688797,0.39046723222620905,0.09024169040391504,0.7935483870967742
6,cosine,Robust,K-Means,16.38545677422506,"[92, 33, 129, 150, 58, 95]",0.31700527587829663,1.6265464591584735,27.024206476046743,0.04648113648642106,0.37500824061308824,0.10384056410309042,0.8129032258064516
7,cosine,Robust,K-Means,14.09300054819625,"[136, 55, 127, 46, 27, 25, 118]",0.3187923074990273,1.7122597376001052,24.1661645566886,0.03225063445221057,0.34213826266450287,0.10665945253999196,0.8129032258064516
8,cosine,Robust,K-Means,12.75697748159559,"[63, 142, 105, 71, 44, 72, 9, 52]",0.31947201762970306,1.8647542356179148,21.61359070706859,0.03180004848991317,0.3269389811474287,0.10411527865256194,0.8064516129032258
