K,distance_metric,Dataset scaling,Method name,sse,centroids,silhouette_score,davies_bouldin,calinski_harabasz,adjusted_rand_index,fowlkes_mallows_index,normalized_mutual_info,purity_score
2,euclidean,Standard,K-Means++,2460.507568888375,,0.19493186441085067,2.178696773808305,30.126849800168824,0.3240979552766625,0.731055321757835,0.25908001930704916,0.7935483870967742
3,euclidean,Standard,K-Means++,2245.81354754068,,0.1540190801336015,2.34569293134756,23.660989330613965,0.17538636097649996,0.5927258503887792,0.16164595799180123,0.832258064516129
4,euclidean,Standard,K-Means++,2109.3067756941355,,0.1373712001914735,2.254017447738247,19.941729722815186,0.11395504710256048,0.5092196499423958,0.14517375644975386,0.8387096774193549
5,euclidean,Standard,K-Means++,2011.691925825261,,0.14821496446181961,2.037615901336002,17.397819383897446,0.11827491185331007,0.503579342018412,0.13050135387038084,0.8387096774193549
6,euclidean,Standard,K-Means++,1926.0337319014855,,0.13062044101259285,2.225810835118249,15.765660946839992,0.08948039607512348,0.44292796961515,0.11922074354062642,0.8451612903225807
7,euclidean,Standard,K-Means++,1841.2814777673445,,0.14823693824962153,1.9601216347761061,14.785928827541749,0.12422214111529542,0.48205267506145,0.14475426521339108,0.8516129032258064
8,euclidean,Standard,K-Means++,1770.015067119988,,0.11616757387709115,2.086458421274463,13.94038053621132,0.06877854355954,0.38806099358136115,0.11924511758751309,0.8451612903225807
2,manhattan,Standard,K-Means++,27778.86270790398,,0.2900445601406792,2.136116091379929,28.057047049982,0.4009266886733003,0.778689212389221,0.2651234808666248,0.832258064516129
3,manhattan,Standard,K-Means++,23726.938288236735,,0.2677195011559914,2.1906918655717837,21.826936186093437,0.28892308628162516,0.6861791141875219,0.1955249513940882,0.8516129032258064
4,manhattan,Standard,K-Means++,20988.90995093099,,0.21423520903716653,2.3857511889607235,17.98932619047054,0.2507976293769836,0.6271992028515445,0.19776141590182114,0.8580645161290322
5,manhattan,Standard,K-Means++,19246.510926004572,,0.2178787363945883,2.240324558075153,15.66405908747741,0.23031764392584506,0.6049648014844823,0.17118320988922947,0.8516129032258064
6,manhattan,Standard,K-Means++,18291.781217942287,,0.20688432115419267,2.0745394417448932,14.55893576204824,0.21912479952883396,0.5895856145413505,0.15772066617720168,0.8516129032258064
7,manhattan,Standard,K-Means++,17087.42787007609,,0.15985285209130318,2.2567085619259015,13.386714398180795,0.1277502533909741,0.477081819204608,0.13921138347424267,0.864516129032258
8,manhattan,Standard,K-Means++,15734.043464268614,,0.19749961430004867,2.028061916493968,13.013178918563945,0.14544381487844132,0.49240228202450487,0.14417825061162362,0.8580645161290322
2,cosine,Standard,K-Means++,61.127374711408294,,0.2750712214493144,2.2176599378923716,29.46217876349564,0.15894250833544035,0.6482052163114042,0.16901630094775794,0.7935483870967742
3,cosine,Standard,K-Means++,48.31355321848603,,0.2314927540786589,2.413264319026279,21.136906655390714,0.08188183856390212,0.526482999212042,0.15594641322639563,0.7935483870967742
4,cosine,Standard,K-Means++,39.6403918251484,,0.2435654690951946,2.2688396772354413,18.648679831865792,0.10380570964988735,0.49957915270584724,0.14099001833951585,0.8258064516129032
5,cosine,Standard,K-Means++,33.55147806772624,,0.23205718440129253,2.2057514542274665,16.634052939553573,0.06867495251753393,0.43189599682376956,0.129961650166162,0.8387096774193549
6,cosine,Standard,K-Means++,29.763733767427794,,0.22837635809202983,2.292017003006755,15.347399172724865,0.06405094510780211,0.4008451924243955,0.12022854529837233,0.8516129032258064
7,cosine,Standard,K-Means++,26.080162408798824,,0.24230764464824164,1.9773287298988311,14.35579867583322,0.04905422799155991,0.3739000394794797,0.12360388326199948,0.8516129032258064
8,cosine,Standard,K-Means++,24.187710478855756,,0.2147499464838898,2.1106054173556337,12.870444150440699,0.03315734322866539,0.33135336772856533,0.10553425117683231,0.8258064516129032
