K,distance_metric,Dataset scaling,Method name,sse,centroids,silhouette_score,davies_bouldin,calinski_harabasz,adjusted_rand_index,fowlkes_mallows_index,normalized_mutual_info,purity_score
8,euclidean,MinMax,K-Means,5627.246258801755,"[8284, 1466, 2848, 528, 9746, 10569, 3382, 7624]",0.3183229911166898,1.206984878196537,2989.691582113329,0.48927156941310684,0.563301600129258,0.6454373479482614,0.6340975254730713
9,euclidean,MinMax,K-Means,5267.0480236323965,"[547, 5589, 199, 9086, 3392, 8058, 8564, 7323, 6211]",0.3173864791100041,1.2613488418833576,2888.5119913977614,0.5350872384877728,0.5936016610854707,0.669794508175815,0.6924126637554585
10,euclidean,MinMax,K-Means,5004.426082877514,"[7064, 3520, 10, 1762, 371, 3283, 1703, 7796, 7939, 6964]",0.2903490622375628,1.3472886572995102,2766.095480960219,0.5953196474378291,0.6379023996032144,0.6913253073304743,0.7664665211062591
11,euclidean,MinMax,K-Means,4694.779146138598,"[2766, 5835, 2457, 2174, 333, 8029, 7322, 9030, 5824, 1143, 9749]",0.32467370791675815,1.2193217847461022,2725.865646857538,0.5374881545911464,0.5908654828215915,0.6957478422295871,0.7416302765647744
12,euclidean,MinMax,K-Means,4454.761812511495,"[100, 7445, 3725, 7274, 8692, 9572, 2142, 5812, 2905, 1096, 4309, 1875]",0.29647481410142273,1.3751307042975034,2665.1176607588563,0.6325487521872507,0.6683128188505211,0.7222147995885418,0.800764192139738
8,manhattan,MinMax,K-Means,54724.70434433126,"[4499, 5867, 6703, 2745, 6903, 4809, 2872, 5328]",0.31522955907820877,1.400494282701331,2843.6113057587545,0.5389447620160235,0.5986594003728664,0.6753675693136245,0.6784024745269287
9,manhattan,MinMax,K-Means,51318.89197375407,"[5318, 4202, 1071, 7207, 542, 1991, 9031, 9979, 3508]",0.3364004352492644,1.2459678804441792,2796.9494898976313,0.475487633952634,0.5468828284431223,0.6472671295939545,0.6385553129548762
10,manhattan,MinMax,K-Means,49111.67274666527,"[4863, 8885, 3270, 8531, 7492, 9073, 7474, 3516, 8691, 1903]",0.3318506079258617,1.3461413542590899,2650.610430006823,0.49366532153163006,0.5563647407301244,0.6511295704192429,0.6600254730713246
11,manhattan,MinMax,K-Means,45534.03674815164,"[689, 6470, 8405, 2949, 6171, 2166, 5839, 8417, 3306, 10311, 549]",0.32541929038437867,1.2642547673998419,2582.026503798361,0.5469881398527607,0.5977578114676632,0.6966442156714925,0.7554585152838428
12,manhattan,MinMax,K-Means,42757.27667374047,"[1494, 5530, 8371, 3519, 10804, 4927, 644, 10024, 9088, 4091, 6520, 5185]",0.3127320457078618,1.2937116631012833,2609.555942306183,0.6101459895816632,0.6486680507011955,0.7173148685308954,0.8155021834061136
8,cosine,MinMax,K-Means,28.91761237662301,"[1596, 8750, 6241, 6570, 16, 174, 482, 8125]",0.46586429070458735,1.2900637379735738,2964.7447247336145,0.4613672587906599,0.5376030607763657,0.6289819216547016,0.605349344978166
9,cosine,MinMax,K-Means,25.313249754917216,"[7062, 7596, 2929, 9220, 3359, 8855, 8386, 7846, 7281]",0.47998833554249043,1.2299835329966393,2868.0845591822244,0.4825840964705509,0.5531401143427298,0.655666405535173,0.646561135371179
10,cosine,MinMax,K-Means,23.772570551396374,"[8830, 9401, 6969, 7041, 4922, 8984, 7037, 4838, 5549, 3512]",0.446569575072879,1.3058155699962428,2747.7083274459433,0.5464705899331316,0.5989898771453991,0.6873417224055113,0.728438864628821
11,cosine,MinMax,K-Means,21.225741050928537,"[5906, 7086, 3475, 218, 4178, 5603, 3509, 2866, 2468, 5374, 3844]",0.4440903638615456,1.3398313691891912,2742.306376986845,0.5988928975037136,0.6393139418886463,0.7070914232019874,0.7836608442503639
12,cosine,MinMax,K-Means,19.26893941658991,"[9617, 5043, 4982, 3988, 5496, 3830, 5942, 2494, 4042, 7659, 3429, 8520]",0.4496730046254572,1.355659377125904,2657.2486382147245,0.6368766721673725,0.6722435307680265,0.7272774575647468,0.8042212518195051
