K,distance_metric,Dataset scaling,Method name,sse,centroids,silhouette_score,davies_bouldin,calinski_harabasz,adjusted_rand_index,fowlkes_mallows_index,normalized_mutual_info,purity_score
8,euclidean,Robust,K-Means,29026.512254474077,"[1111, 7833, 10494, 1219, 5980, 7013, 8548, 55]",0.2643633000336099,1.3396031911547688,2526.69862795322,0.4439032509150009,0.5250368775069582,0.6227944870422929,0.5987991266375546
9,euclidean,Robust,K-Means,27279.31252429117,"[3789, 3611, 3397, 3665, 5805, 8603, 4065, 9258, 561]",0.26187803809690013,1.3682640170408622,2440.180151567317,0.5253271973464801,0.5830438462686712,0.6742000268980115,0.6848617176128093
10,euclidean,Robust,K-Means,25995.84160115446,"[5227, 3026, 6164, 7063, 9060, 5455, 595, 6378, 2131, 4309]",0.2668658726447374,1.4725856541848823,2336.1774331997085,0.5520880388894609,0.6011647011900204,0.684207293637318,0.7249818049490538
11,euclidean,Robust,K-Means,24884.38065943033,"[9611, 10305, 10951, 3257, 6317, 10955, 6061, 5493, 10129, 7111, 1828]",0.2615959673855529,1.4475974667999822,2245.3171587408115,0.5750810832333743,0.6169351393024733,0.6921411084125679,0.7424490538573508
12,euclidean,Robust,K-Means,23775.070898637197,"[4846, 6608, 4782, 4190, 2521, 4976, 1582, 4443, 9812, 1157, 6092, 3499]",0.2672220309825828,1.393772889052341,2182.8158141685867,0.5842581821238412,0.6244966629959562,0.6969097346238349,0.7529112081513828
8,manhattan,Robust,K-Means,271301.4976163065,"[8929, 2839, 2666, 5024, 6685, 3481, 8688, 9622]",0.2856969116489718,1.4995264267879218,2416.0414160543587,0.5003245721835021,0.5646055823882212,0.6486703841250336,0.6443777292576419
9,manhattan,Robust,K-Means,252472.09512335702,"[9327, 1172, 6293, 1617, 6953, 1499, 3064, 4422, 5337]",0.2956021124829097,1.3992938080619288,2397.2412304420427,0.5286742164920736,0.5855308605085191,0.6764816803791204,0.68495269286754
10,manhattan,Robust,K-Means,239190.36381214144,"[8705, 8100, 6782, 9830, 7909, 9698, 9531, 10401, 7378, 8911]",0.3031104540561597,1.364816465490044,2273.510005283021,0.5478906719090003,0.5997097315770801,0.6936173006320614,0.7227983988355168
11,manhattan,Robust,K-Means,228652.4970582073,"[2380, 5897, 10435, 3650, 677, 5572, 5472, 8364, 9263, 525, 10252]",0.2873007004905845,1.479484734276935,2180.8549830649035,0.6145929596924159,0.6529058773278,0.713366655279633,0.7817503639010189
12,manhattan,Robust,K-Means,219474.4375787999,"[7969, 3862, 1075, 9355, 7191, 4835, 8661, 1762, 5460, 423, 8723, 1442]",0.2922136290410305,1.480000746844601,2101.846381428293,0.5893243540554854,0.6291777397568331,0.6974829507943167,0.7705604075691412
8,cosine,Robust,K-Means,743.110273301281,"[7530, 1373, 10945, 9475, 3867, 5234, 914, 4247]",0.39853176562484083,1.5576959797806453,2222.277566978751,0.5194461392140017,0.5801990047201152,0.6483224964402049,0.6707605531295487
9,cosine,Robust,K-Means,669.435990748676,"[4704, 2170, 819, 4200, 7295, 7165, 4173, 4811, 8162]",0.404780349654401,1.5037987705006832,2072.6887704146807,0.5186166754649514,0.5749799543614326,0.638483316300921,0.6762190684133915
10,cosine,Robust,K-Means,628.7121273895451,"[5697, 8111, 4273, 1140, 9963, 2450, 5483, 9670, 2269, 10376]",0.36834701926331953,1.5656874062372976,2124.9340269090703,0.4891428165144543,0.5414123449504973,0.6242579715539919,0.6397379912663755
11,cosine,Robust,K-Means,554.1247599204354,"[8613, 7732, 3730, 8026, 3458, 664, 3785, 5041, 5036, 6320, 5310]",0.38407242224182747,1.5018789300695659,2035.6054239842008,0.5375574499679133,0.5827577802597421,0.6567375968653556,0.6885007278020379
12,cosine,Robust,K-Means,507.6441885945388,"[2359, 7631, 7815, 8836, 9541, 6308, 3245, 8513, 5309, 3663, 6154, 848]",0.3860822440929164,1.4840023346054865,1928.9915461435567,0.5584083879490935,0.6011278813756309,0.6685203696307084,0.7277110625909753
