K,distance_metric,Dataset scaling,Method name,sse,centroids,silhouette_score,davies_bouldin,calinski_harabasz,adjusted_rand_index,fowlkes_mallows_index,normalized_mutual_info,purity_score
8,euclidean,Standard,K-Means++,66722.22346465297,,0.29088586690372326,1.3002105594462787,2566.934723029922,0.44570899266107383,0.5269143281257135,0.6243174019510567,0.602165211062591
9,euclidean,Standard,K-Means++,63208.913861731104,,0.2717848294361593,1.398677676436105,2447.001932677097,0.533074978969599,0.59000396302694,0.6772647421593908,0.6899563318777293
10,euclidean,Standard,K-Means++,59634.10600502487,,0.2837635546483464,1.371595556734982,2378.4386288113146,0.5533888676502468,0.6058594092197337,0.6974806055502834,0.7158842794759825
11,euclidean,Standard,K-Means++,56684.15018363594,,0.2709485750901768,1.4307365794419822,2308.9378152331033,0.6174087085376323,0.6555623392967134,0.7181288585471233,0.7889374090247453
12,euclidean,Standard,K-Means++,54259.01715518821,,0.2778663075307308,1.3909153970636814,2237.266259050567,0.6039732984676754,0.6430509050521226,0.7136309895381141,0.8167758369723436
8,manhattan,Standard,K-Means++,649831.955427775,,0.31667604045542613,1.3231705585712232,2512.6660694382367,0.440298522223433,0.521822905550649,0.6184844429340007,0.6006186317321689
9,manhattan,Standard,K-Means++,602695.5848453953,,0.3024756992559926,1.4258317848586097,2404.532971989086,0.5290575505870688,0.5861253462806275,0.6768085247434319,0.6859534206695779
10,manhattan,Standard,K-Means++,571405.2893093169,,0.3043436998533874,1.3759780225970153,2288.8031917044655,0.5149331135344787,0.5694272271773646,0.6661181008970147,0.6944141193595342
11,manhattan,Standard,K-Means++,543342.9152855583,,0.2919848455030445,1.4417486684183574,2230.9725619600713,0.5717015233328252,0.6141700149252666,0.68186794757543,0.7548216885007278
12,manhattan,Standard,K-Means++,519401.14559715695,,0.2975117636353974,1.4357000526746138,2161.464941843448,0.5901755014333129,0.629917697421975,0.6927530277762053,0.7695596797671034
8,cosine,Standard,K-Means++,719.061193237876,,0.4207363082947382,1.4370905499237412,2480.182652991742,0.5307624925177014,0.5924018993500203,0.6615308067043489,0.665302037845706
9,cosine,Standard,K-Means++,639.659296295075,,0.42524684565675813,1.4152315269368072,2385.647003881009,0.5572606004180403,0.6117938117339675,0.6846802020591308,0.7022379912663755
10,cosine,Standard,K-Means++,578.6461005943062,,0.4363946755119268,1.4065482060292325,2260.1131484520174,0.5667803407232773,0.6165680900771637,0.6904471942750159,0.7137918486171762
11,cosine,Standard,K-Means++,522.7239241709531,,0.4282563468868977,1.4513994361871978,2192.5293912705474,0.6292068763648104,0.6659129443579784,0.710655359869041,0.7866630276564774
12,cosine,Standard,K-Means++,483.00928309521225,,0.4213413410312317,1.4713310132356943,2087.166018838518,0.6096850122154921,0.6476431505254352,0.7082941959354095,0.7924854439592431
