K,distance_metric,Dataset scaling,Method name,sse,centroids,silhouette_score,davies_bouldin,calinski_harabasz,adjusted_rand_index,fowlkes_mallows_index,normalized_mutual_info,purity_score
8,euclidean,Standard,K-Means,66722.03711163178,"[38, 6948, 4565, 2987, 8451, 3945, 2192, 835]",0.2910474771976081,1.3001990609468248,2566.946274993655,0.44636968266652965,0.5275382544753896,0.6251555448407554,0.6033478893740902
9,euclidean,Standard,K-Means,63208.95466637796,"[2406, 3816, 3406, 4558, 4530, 1401, 10753, 2641, 8453]",0.27175091192007833,1.3984736377387543,2446.9994667491274,0.5327017400159969,0.589670214520142,0.6768980547364498,0.6895924308588064
10,euclidean,Standard,K-Means,59635.18427180812,"[9373, 6572, 1990, 6992, 3890, 2718, 4492, 3226, 8818, 2306]",0.2843714528295895,1.3705775137199703,2378.3735612424416,0.5500951441067059,0.6029755257215277,0.6939338891317947,0.7138828238719068
11,euclidean,Standard,K-Means,56670.22903421137,"[1261, 3807, 9742, 509, 76, 2134, 9276, 9531, 1597, 7322, 404]",0.27411674861469587,1.4173052333114853,2309.7747605451177,0.5898460621054827,0.630946034564916,0.6971801270539617,0.7754730713245997
12,euclidean,Standard,K-Means,54143.46440254612,"[7012, 1372, 8561, 7666, 6577, 4364, 8995, 9070, 10894, 9172, 5839, 9895]",0.2804394566044171,1.403123206827354,2244.171338647529,0.6166790672801052,0.6539754918348651,0.7168692079483764,0.7938500727802038
8,manhattan,Standard,K-Means,648910.3953592989,"[8772, 2579, 43, 10511, 945, 4651, 10645, 6719]",0.29854787326719184,1.4804164053902866,2474.1121145987845,0.5380775721805391,0.5977456746733519,0.6742271534989204,0.6779475982532751
9,manhattan,Standard,K-Means,602704.3812727621,"[4939, 8064, 7111, 3363, 7066, 5608, 8951, 4395, 4170]",0.3024990272100322,1.4253552471326034,2405.0937033936025,0.5289307342102093,0.5859885994007623,0.6766277277443725,0.6859534206695779
10,manhattan,Standard,K-Means,574678.0620652916,"[10552, 1229, 3602, 6847, 9591, 1725, 836, 1130, 7970, 2325]",0.2828572489225817,1.504887367167872,2310.7695962873727,0.5925205394453564,0.6345896022783729,0.6978363491779723,0.7454512372634643
11,manhattan,Standard,K-Means,543479.2128735242,"[10589, 8371, 10894, 4298, 4950, 5599, 613, 217, 667, 10722, 4292]",0.2918028845687569,1.4394043812072042,2229.746981588159,0.5688611230799889,0.6115798015915962,0.6806604141505733,0.75127365356623
12,manhattan,Standard,K-Means,516525.73017788935,"[849, 6938, 4901, 4208, 7120, 454, 10599, 4473, 3130, 8972, 5559, 851]",0.3021897671414489,1.4253336518693593,2188.3629710053888,0.6267901852749004,0.6631745156384435,0.7167448133965814,0.7980349344978166
8,cosine,Standard,K-Means,720.2959962419687,"[9587, 3156, 10143, 9262, 8593, 1960, 4580, 2937]",0.42194374962247344,1.4336881643930792,2481.283648044855,0.5270214457748919,0.5892669342416033,0.6580432695162964,0.6633005822416302
9,cosine,Standard,K-Means,653.3767719757724,"[1397, 8982, 4608, 10483, 1216, 5653, 9775, 1568, 4562]",0.40098030447949273,1.544304846960446,2359.564182745613,0.5967566223892596,0.6404305418992534,0.6866834501089697,0.7397197962154294
10,cosine,Standard,K-Means,582.4821900255185,"[2311, 2661, 2768, 6239, 944, 1934, 1873, 7484, 3410, 462]",0.41725133124500313,1.4663333967092438,2284.2558828182887,0.6117828251975171,0.6519758637590307,0.700302426289565,0.7726528384279476
11,cosine,Standard,K-Means,522.6508046427498,"[5688, 10729, 9006, 2897, 2617, 6078, 7102, 7963, 1677, 3516, 6480]",0.4284021295209191,1.4508573195415027,2192.3346661204732,0.6300330459274509,0.666656668251603,0.7110776559457785,0.7869359534206696
12,cosine,Standard,K-Means,483.2395489494114,"[7862, 1470, 8626, 1118, 2365, 9603, 9693, 10875, 9740, 7286, 5022, 3913]",0.42110449787846344,1.4712120275103804,2087.7003385388284,0.6091046480393182,0.6471173291931108,0.7077719283504889,0.7922125181950509
